year,month,diesel,e5,e10
2014,6,1.390412689539515,1.5852541401718958,1.4817371951645586
2014,7,1.3754158339738662,1.5721916707427854,1.4701548459227167
2014,8,1.3715540931642778,1.5092102398015435,1.440831656560088
2014,9,1.3663410233454996,1.4794971420701053,1.4415131877969836
2014,10,1.3282829746136866,1.4375906456953642,1.3997124034216335
2014,11,1.3032499484287974,1.393638726535103,1.3556571546448464
2014,12,1.206574372881356,1.2856351864406779,1.247683661016949
2015,1,1.1332948330355914,1.2226140579909304,1.1996300673354405
2015,2,1.1941028171910344,1.2780887655082596,1.2587584481458634
2015,3,1.215702463459823,1.3331751183695877,1.3139452411994785
2015,4,1.227042726836294,1.3753372882518347,1.356767505658048
2015,5,1.255920795462311,1.4039443723091642,1.386856762113032
2015,6,1.2346702836343657,1.414103907698647,1.395593503193462
2015,7,1.1980868612138649,1.4100096588573776,1.3917577065351419
2015,8,1.1422983485737683,1.3454130612801967,1.3278061280196531
2015,9,1.138007937050975,1.2891969209716045,1.2717002394799863
2015,10,1.1280076147355422,1.2620012348219798,1.2446375111476984
2015,11,1.1403872331719294,1.2711210529905204,1.2538891086407966
2015,12,1.053888303263734,1.2252891411581863,1.207080072977904
2016,1,0.990448153699414,1.1889140209837854,1.1698356724349368
2016,2,0.984058602297593,1.1552431619256018,1.1362681208971555
2016,3,1.027260626321894,1.1705730367742375,1.1495164767687793
2016,4,1.0375227442714354,1.2661742027605902,1.2003023050248183
2016,5,1.0852770339155848,1.3030497519200708,1.2339440630734724
2016,6,1.113344872408839,1.3247636313881097,1.2572549086679894
2016,7,1.0922983903969445,1.290830650661574,1.2223747101350428
2016,8,1.0806714353838818,1.2790557939914162,1.2112006267456912
2016,9,1.0939511237476307,1.2920911183319794,1.221847143243975
2016,10,1.136725314912637,1.3191688338073955,1.2486023973994311
2016,11,1.1211194009530292,1.2962990469707285,1.227707624234173
2016,12,1.1768255410098851,1.3447882714400214,1.273266898209992
2017,1,1.1901053778080328,1.3678,1.2963816882232813
2017,2,1.1885721022416622,1.3766828184800437,1.3055100464734828
2017,3,1.1662131493065,1.3449818466140875,1.2712015909709
2017,4,1.1704123334911083,1.3679886402055583,1.2923209141929815
2017,5,1.1406019719070772,1.3413847244732575,1.2670309292274446
2017,6,1.1120642982574633,1.3228660678103472,1.2492320005403215
2017,7,1.1118377012733276,1.3106893485144513,1.2369308765074445
2017,8,1.1254277725373938,1.322412410726317,1.2476290257377713
2017,9,1.1517742456896551,1.3486233836206898,1.2724667968749999
2017,10,1.167224744073276,1.3313232085129312,1.2553139143318968
2017,11,1.188315056512379,1.3611899219590957,1.283662674919268
2017,12,1.1982616263440862,1.354929637096774,1.281004301075269
2018,1,1.2096668006430868,1.3556208467309752,1.2786889737406217
2018,2,1.1887983464408147,1.3432997916246556,1.2665538751092291
2018,3,1.1860089870937225,1.328534968578958,1.2531803500236502
2018,4,1.2168389216738198,1.373132376609442,1.2945784603004293
2018,5,1.279179946344735,1.4384843729040913,1.3578709590878604
2018,6,1.2889360292128753,1.4470180551798757,1.3660707330267785
2018,7,1.2831606182795698,1.4464138440860215,1.3641096774193548
2018,8,1.299179206658165,1.4696419222766628,1.3862472649171085
2018,9,1.3397670157068062,1.499524768425292,1.4143801852597666
2018,10,1.3916114894477785,1.51420436922662,1.4290310161148945
2018,11,1.4325723980380298,1.523519451723443,1.4378511052879124
2018,12,1.3097500495147554,1.4135301379811185,1.3320662177328844
2019,1,1.2419224681421863,1.3332047619047618,1.2543069081153588
2019,2,1.2582291414752116,1.3293743786107752,1.2505520623404542
2019,3,1.2708987843374304,1.3611863120424474,1.2806695547048157
2019,4,1.2839813693839117,1.448408461124563,1.3645694780737154
2019,5,1.3035865177610333,1.506902247039828,1.4192968245425188
2019,6,1.2624686975776689,1.4758574783600618,1.3888211098436556
2019,7,1.2543541234005493,1.446618208615261,1.360419240302807
2019,8,1.2431734003350086,1.41112757118928,1.3263758123953098
2019,9,1.2635075995982592,1.3966109139604954,1.3118972212922666
2019,10,1.2643095556745183,1.3812114561027837,1.2974004951820128
2019,11,1.2587833266479476,1.381504412354593,1.2977624013905602
2019,12,1.2733902568527244,1.3849595141700406,1.3006185040153977
2020,1,1.3000350560897436,1.3883633814102565,1.3143380074786324
2020,2,1.2403634297934907,1.379926953151106,1.2954738354608033
2020,3,1.1547627322550462,1.2880245288063092,1.202774495388317
2020,4,1.0825695559122526,1.1785031433921882,1.098234951845907
2020,5,1.0511929965249933,1.1755261962042236,1.0959922480620155
2020,6,1.086094827586207,1.2446728815824646,1.1605505212510023
2020,7,1.090574929878456,1.2681307599839724,1.175839121143315
2020,8,1.0825000667378537,1.2605924319273893,1.1676528964228512
2020,9,1.0507928169391583,1.259163763066202,1.1679770168855534
2020,10,1.0424690415033122,1.249776057861295,1.1508780586724348
2020,11,1.0572689976689977,1.225471928071928,1.1262983016983017
2020,12,1.1414511399801743,1.2802309698961756,1.1816636928053426
2021,1,1.2319230051951513,1.3694279339283335,1.2630371653123753
2021,2,1.2760455669138773,1.419080310015367,1.3034155809447452
2021,3,1.3150454726765057,1.4810041217923149,1.3596608163808004
2021,4,1.3096252578348526,1.4932196420254173,1.371218777031073
2021,5,1.331273031377534,1.5105196360473674,1.3892684819696262
2021,6,1.3639938825719795,1.532630294567458,1.4088231930314516
2021,7,1.3893598451991727,1.573491092279976,1.4486916661106293
2021,8,1.3858409574468085,1.582130385638298,1.4563045877659575
2021,9,1.4116946934980408,1.594892276017799,1.4684005445971973
2021,10,1.5368148615445913,1.6751883923235276,1.5443826947340462
2021,11,1.5651335022672712,1.7064747932782074,1.5745970925580155
2021,12,1.5459639813713832,1.6593004855330953,1.5407433610780816
2022,1,1.6036996344300432,1.6986251246261215,1.5672911266201397
2022,2,1.6705888223552894,1.769585628742515,1.6347034597471723
2022,3,2.1405597084161694,2.0714982107355864,1.9253736249171636
2022,4,2.0220356763220835,1.9829815306935956,1.8386368588891842
2022,5,2.0325905469994687,2.0745278146574617,1.9251030934678706
2022,6,2.020877119489328,1.9268646186581555,1.7849474699115633
2022,7,1.9579081199416215,1.8151386493299722,1.677730993764097
2022,8,1.9596168416854978,1.7508756480127607,1.6170025255881961
2022,9,2.080961910439852,1.9553053789083201,1.8107641096979332
2022,10,2.111915375446961,1.9269400741623628,1.7841005827042777
2022,11,1.9692174403931728,1.8495355648535563,1.7104889420203226
2022,12,1.816114620995877,1.7169032667300983,1.5853743736124326
2023,1,1.834997285487288,1.7652318591101697,1.6307139830508475
2023,2,1.7586807101218866,1.7741846184419714,1.6389638977212506
2023,3,1.7189891924147993,1.7825982628298636,1.6476832648189896
2023,4,1.6761910334132244,1.8040326378119274,1.680786479627802
